timestamp,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,gesture
1732508606.7362478,-0.028186767578125,0.3297396240234375,1.9736029052734376,-2.7211488549618323,-6.453912213740458,2.045759541984733,swipe_up
1732508606.7694845,0.026012451171875,0.2901888427734375,1.9855657958984376,0.2025152671755726,-2.369942748091603,-0.3282862595419847,swipe_up
1732508606.8025765,-0.012317626953125,0.2914095458984375,1.9985052490234376,1.5231259541984734,-0.7668893129770993,-0.1450801526717557,swipe_up
1732508606.8356824,-0.020618408203125,0.2647982177734375,2.0116888427734376,6.5078587786259545,1.393416030534351,1.8396526717557253,swipe_up
1732508606.8687515,-0.014514892578125,0.3158236083984375,1.9762884521484376,6.668164122137404,2.6376908396946566,3.022858778625954,swipe_up
1732508606.9018235,-0.005969970703125001,0.3534212646484375,1.9753118896484376,6.217782442748091,5.652958015267176,0.5877442748091604,swipe_up
1732508606.9349031,-0.042591064453125,0.3583040771484375,2.0043646240234376,7.0803778625954195,4.721660305343511,-2.290118320610687,swipe_up
1732508606.9679663,-0.086780517578125,0.3929720458984375,1.9809271240234376,1.561293893129771,-0.6600190839694657,-0.32065267175572515,swipe_up
1732508607.0010335,-0.042835205078125,0.4100618896484375,1.9570013427734376,-4.614278625954198,-1.7745229007633587,0.8625534351145039,swipe_up
1732508607.0341158,-0.017688720703125,0.3858919677734375,1.9792181396484376,-6.42343893129771,0.7369274809160304,-0.27485114503816793,swipe_up
1732508607.0671883,-0.031116455078125,0.3636751708984375,1.9684759521484376,-13.492141221374045,-3.4920801526717558,-2.549660305343511,swipe_up
1732508607.101046,-0.010608642578125,0.3168001708984375,1.9916693115234376,-10.850919847328244,-4.25543893129771,-3.3435534351145035,swipe_up
1732508607.134139,-0.026233642578125,0.3548861083984375,1.9469915771484376,-11.942522900763358,-4.789790076335878,-3.4962251908396946,swipe_up
1732508607.1672103,-0.015735595703125,0.3246126708984375,1.9740911865234376,-15.973057251908395,0.561354961832061,1.1984312977099238,swipe_up
1732508607.200273,0.006725341796874999,0.2980013427734375,1.9386907958984376,-15.492141221374045,9.89723282442748,-3.7023320610687023,swipe_up
1732508607.2333488,-0.038928955078125,0.2892122802734375,1.9711614990234376,-9.75168320610687,11.668225190839694,-7.969507633587786,swipe_up
